lemma,learning_language,item
un,fr,a
un,it,a
uno,it,a
pochino,it,a little
beaucoup,fr,a lot
mucho,es,a lot
viel,de,a lot of
abandonner,fr,abandon
capable,fr,able
capaz,es,able
abbrechen,de,stop
acerca,es,about
aproximadamente,pt,about
circa,it,about
environ,fr,about
etwa,de,about
propos,fr,About
sobre,pt,about
über,de,about
darüber,de,about that
worüber,de,About which
acima,pt,above
dessus,fr,above
oben,de,above
sopra,it,above
estero,it,abroad
absence,fr,absence
ausencia,es,absence
ausência,pt,absence
fehlen,de,absence
absolut,de,absolute
absoluto,es,absolute
assoluto,it,absolute
absolument,fr,absolutely
absolutamente,es,absolutely
absolutamente,pt,absolutely
assolutamente,it,absolutely
unbedingt,de,absolutely
missbrauch,de,abuse
academia,es,academy
academia,pt,Academy
akademie,de,academy
accepter,fr,accept
aceitar,pt,accept
aceptar,es,accept
akzeptieren,de,accept
accès,fr,access
acceso,es,access
acesso,pt,access
zugang,de,Access
zugriff,de,access
accident,fr,accident
unfall,de,accident
unterkunft,de,accommodation
accompagner,fr,accompany
realizar,pt,accomplish
conforme,es,according
según,es,according
d'après,fr,according to
laut,de,according to
selon,fr,According to
berücksichtigen,de,account
compte,fr,account
richtigkeit,de,accuracy
lograr,es,achieve
réaliser,fr,achieve
acide,fr,acid
acido,it,acid
ácido,es,acid
gegenüber,de,across from
acte,fr,act
acto,es,act
actuar,es,Act
agir,fr,act
atuar,pt,Act
handeln,de,act
ação,pt,action
acción,es,action
action,fr,action
aktion,de,action
azione,it,action
activar,es,Activate
actif,fr,active
aktiv,de,active
actividad,es,activity
activité,fr,activity
aktivität,de,activity
atividade,pt,activity
attività,it,activity
tätigkeit,de,activity
acteur,fr,actor
actor,es,actor
ator,pt,actor
attore,it,actor
schauspieler,de,actor
actriz,es,actress
effettivamente,it,actually
eigentlich,de,actually
réellement,fr,Actually
adapter,fr,adapt
adapté,fr,adapted
adaptateur,fr,adapter
acrescentar,pt,add
adicionar,pt,add
aggiungere,it,add
agregar,es,add
ajouter,fr,add
añadir,es,Add
hinzufügen,de,Add
somar,pt,add
sumar,es,Add
mehrwert,de,added value
ajout,fr,Adding
adresse,de,address
adresse,fr,address
anrede,de,Address
anschrift,de,address
dirección,es,address
endereço,pt,Address
adeguato,it,adequate
adhérent,fr,Adherent
administración,es,administration
amministrazione,it,administration
verwaltung,de,administration
administratif,fr,administrative
administrator,de,Administrator
aufnahme,de,admission
adopter,fr,adopt
adulte,fr,adult
adulto,es,adult
adulto,it,adult
adulto,pt,adult
erwachsene,de,adult
avanzato,it,advanced
avantage,fr,advantage
vantagem,pt,advantage
ventaja,es,advantage
abenteuer,de,adventure
aventura,es,adventure
aventura,pt,adventure
avventura,it,adventure
werben,de,Advertise
publicidad,es,advertising
publicidade,pt,advertising
werbung,de,advertising
conseil,fr,advice
consejo,es,advice
conselho,pt,advice
rat,de,advice
beraten,de,advise
consejero,es,adviser
conseiller,fr,Advisor
asunto,es,affair
afectar,es,affect
betreffen,de,affect
affirmer,fr,affirm
leisten,de,afford
africa,it,Africa
áfrica,pt,Africa
afrika,de,Africa
africain,fr,African
après,fr,after
depois,pt,after
después,es,after
dopo,it,after
nach,de,after
suite,fr,after
schließlich,de,after all
danach,de,after that
nachdem,de,after this
pomeriggio,it,afternoon
tarde,pt,afternoon
encore,fr,again
erneut,de,again
nochmals,de,again
novamente,pt,again
nuevamente,es,again
nuovamente,it,again
wieder,de,again
contra,es,against
contra,pt,against
contre,fr,against
contro,it,against
gegen,de,against
âge,fr,age
âgé,fr,age
edad,es,age
età,it,age
idade,pt,age
agencia,es,agency
agência,pt,agency
agentur,de,Agency
agent,fr,agent
agente,es,agent
agente,pt,agent
agglomération,fr,agglomeration
concordar,pt,agree
convenir,es,agree
accord,fr,agreement
acuerdo,es,agreement
convenio,es,agreement
agricole,fr,agricultural
agriculture,fr,Agriculture
landwirtschaft,de,Agriculture
ah,pt,Ah
adelante,es,ahead
voraus,de,ahead
ziel,de,aim
aérien,fr,air
air,fr,air
aire,es,air
ar,pt,air
luft,de,air
aeroplano,it,airplane
avião,pt,airplane
avión,es,airplane
aéroport,fr,airport
aeroporto,it,airport
aeroporto,pt,airport
aeropuerto,es,airport
flughafen,de,Airport
album,de,album
album,fr,album
álbum,pt,album
alcohol,es,alcohol
alcool,fr,alcohol
álcool,pt,alcohol
alkohol,de,alcohol
alarmieren,de,alert
alerte,fr,alert
vivo,es,alive
vivo,pt,Alive
alle,de,all
ganz,de,all
todo,es,all
todo,pt,All
tous,fr,all
tout,fr,all
tudo,pt,all
tutto,it,all
partout,fr,all over
überall,de,all over
bien,es,all right
sempre,it,all time
all,de,everything
alianza,es,alliance
erlauben,de,allow
gestatten,de,allow
permettere,it,allow
permettre,fr,allow
permitir,es,allow
permitir,pt,allow
dürfen,de,allowed
casi,es,almost
presque,fr,almost
quase,pt,almost
quasi,it,almost
allein,de,alone
alleine,de,alone
seul,fr,alone
solo,es,alone
sólo,es,alone
entlang,de,along
bereits,de,already
déjà,fr,already
già,it,already
já,pt,already
ya,es,already
anche,it,also
auch,de,also
aussi,fr,also
außerdem,de,also
ebenfalls,de,also
également,fr,also
também,pt,also
alternativa,es,alternative
apesar,pt,although
aunque,es,although
obwohl,de,although
aluminium,de,aluminum
immer,de,always
siempre,es,always
stets,de,always
toujours,fr,always
embajador,es,ambassador
ambulância,pt,ambulance
ambulanza,it,ambulance
america,it,America
américa,pt,America
amérique,fr,America
américain,fr,American
americano,es,American
americano,it,American
americano,pt,American
estadounidense,es,American
estadunidense,pt,American
parmi,fr,among
darunter,de,Among them
betrag,de,amount
menge,de,amount
quantidade,pt,amount
quantità,it,amount
quantité,fr,amount
análise,pt,analysis
análisis,es,analysis
analyse,de,analysis
analyse,fr,analysis
analisar,pt,analyze
analizar,es,analyze
antico,it,ancient
e,pt,and
ed,it,and
et,fr,and
und,de,and
eppure,it,and yet
ange,fr,angel
ángel,es,Angel
engel,de,Angel
colère,fr,anger
angolo,it,angle
arrabbiato,it,angry
animal,es,animal
animal,fr,animal
animal,pt,animal
animale,it,animal
tier,de,animal
anniversaire,fr,anniversary
anunciar,es,announce
anunciar,pt,announce
convocatoria,es,announcement
antwort,de,answer
beantworten,de,answer
contestar,es,answer
responder,es,answer
responder,pt,answer
resposta,pt,answer
respuesta,es,answer
rispondere,it,answer
risposta,it,answer
formica,it,ant
formiga,pt,ant
fourmi,fr,ant
antiquität,de,Antiquity
angoisser,fr,Anxiety
angst,de,anxiety
ansioso,pt,Anxious
alcun,it,any
alcuno,it,any
alguno,es,any
cualquier,es,any
jed,de,Any
ne,it,any
ninguno,es,any
qualquer,pt,any
qualsiasi,it,any
qualunque,it,any
menos,pt,any less
cualquiera,es,anyone
nada,pt,anything
niente,it,anything
comunque,it,anyway
keinerlei,de,Anyway
apartamento,pt,apartment
appartement,fr,apartment
scimmia,it,ape
desculpar,pt,apologize
disculparse,es,apologize
aparato,es,apparatus
appareil,fr,apparatus
apparemment,fr,apparently
aparecer,es,Appear
aparecer,pt,appear
apparaître,fr,appear
erscheinen,de,appear
figurer,fr,Appear
paraître,fr,Appear
sembler,fr,appear
apparence,fr,appearance
apparition,fr,appearance
aspecto,es,appearance
aspetto,it,appearance
apfel,de,Apple
maçã,pt,Apple
manzana,es,Apple
mela,it,apple
pomme,fr,apple
aparelho,pt,Appliance
bewerber,de,Applicant
anwendung,de,application
aplicação,pt,application
aplicación,es,application
application,fr,application
anwendungen,de,Application
aplicar,es,Apply
cita,es,appointment
rendez-vous,fr,Appointment
ansatz,de,approach
approche,fr,approach
aprobación,es,approval
aprovação,pt,approval
zustimmung,de,approval
approssimativamente,it,approximately
aproximadamente,es,approximately
abril,pt,April
april,de,April
aprile,it,April
avril,fr,April
architekt,de,architect
architetto,it,architect
arquiteto,pt,architect
architektur,de,architecture
architettura,it,architecture
arquitectura,es,architecture
archiv,de,archive
befinden,de,are located
genügen,de,Are sufficient
area,it,area
área,es,area
área,pt,area
bereich,de,Area
fläche,de,area
gebiet,de,area
surface,fr,area
zona,it,area
argentino,it,Argentine
argentino,pt,Argentine
argentino,es,Argentinian
argument,fr,argument
argumento,es,argument
arma,pt,arm
braccio,it,arm
braço,pt,arm
brazo,es,arm
armado,es,armed
arme,fr,armed
bras,fr,arm
armée,fr,army
ejército,es,army
alrededor,es,around
autour,fr,around
intorno,it,around
um,de,around
arrivée,fr,arrival
llegada,es,arrival
arrivare,it,arrive
arriver,fr,arrive
chegar,pt,arrive
llegar,es,arrive
art,de,Art
art,fr,art
arte,es,art
arte,pt,art
kunst,de,art
article,fr,Article
artículo,es,Article
artigo,pt,Article
artista,es,artist
artista,it,artist
artista,pt,artist
künstler,de,Artist
œuvre,fr,artwork
als,de,as
as,fr,As
come,it,as
comme,fr,as
como,es,as
como,pt,as
sowie,de,as
wie,de,as
möglichst,de,As much as possible
appena,it,as soon as
sobald,de,as soon as
ebenso,de,as well
entstehen,de,As well
también,es,as well
verfasse,de,As well
zudem,de,As well
monter,fr,ascend
asia,it,Asia
asie,fr,Asia
bitten,de,ask
chiedere,it,ask
fragen,de,ask
nachfragen,de,ask
peça,pt,ask
pedir,es,ask
pedir,pt,ask
perguntar,pt,ask
preguntar,es,ask
aspa,pt,Asp
aspect,fr,aspect
aspecto,pt,aspect
aspekt,de,aspect
asamblea,es,Assembly
assemblée,fr,Assembly
assembleia,pt,assembly
auftrag,de,assignment
assistance,fr,assistance
asociación,es,association
associação,pt,Association
